[90, [569, 406], 20, '25分52秒514697ミリ秒']
[91, [534, 344], 20, '25分52秒514697ミリ秒']
[92, [568, 406], 20, '25分52秒514697ミリ秒']
[93, [532, 339], 20, '25分52秒514697ミリ秒']
[94, [568, 406], 20, '25分52秒514697ミリ秒']
[95, [532, 339], 20, '25分52秒514697ミリ秒']
[96, [568, 406], 20, '25分52秒514697ミリ秒']
[97, [532, 340], 20, '25分52秒514697ミリ秒']
[98, [567, 405], 20, '25分52秒514697ミリ秒']
[99, [532, 340], 20, '25分52秒514697ミリ秒']
[100, [567, 405], 20, '25分52秒514697ミリ秒']
[101, [532, 339], 20, '25分52秒514697ミリ秒']
[102, [568, 405], 20, '25分52秒514697ミリ秒']
[103, [532, 339], 20, '25分52秒514697ミリ秒']
[104, [568, 406], 20, '25分52秒514697ミリ秒']
[105, [532, 339], 20, '25分52秒514697ミリ秒']
[106, [568, 406], 20, '25分52秒514697ミリ秒']
[107, [532, 339], 20, '25分52秒514697ミリ秒']
[108, [568, 406], 20, '25分52秒514697ミリ秒']
[109, [532, 339], 20, '25分52秒514697ミリ秒']
